Wall time,Step,Value
1701784561.7733138,493000,-935.5431518554688
1701784562.7243128,494000,-935.5431518554688
1701784563.7803154,495000,-935.5431518554688
1701784564.8743155,496000,-935.5431518554688
1701784565.881316,497000,-935.5431518554688
1701784566.8783152,498000,-935.5431518554688
1701784567.8463151,499000,-935.5431518554688
1701784568.7753174,500000,-935.5431518554688
1701784569.7193158,501000,-935.5431518554688
1701784578.5433147,502000,-301.0590515136719
1701784582.1443167,503000,-301.0590515136719
1701784585.563317,504000,-301.0590515136719
1701784588.9993174,505000,-301.0590515136719
1701784592.7003155,506000,-301.0590515136719
1701784596.2183168,507000,-301.0590515136719
1701784599.9943333,508000,-301.0590515136719
1701784603.631331,509000,-301.0590515136719
1701784607.0623295,510000,-301.0590515136719
1701784610.6183314,511000,-301.0590515136719
1701784614.168331,512000,-301.0590515136719
1701784622.5603313,513000,-328.28668212890625
1701784625.9743297,514000,-328.28668212890625
1701784629.1353295,515000,-328.28668212890625
1701784632.5753293,516000,-328.28668212890625
1701784635.857329,517000,-328.28668212890625
1701784639.1953292,518000,-328.28668212890625
1701784642.5693316,519000,-328.28668212890625
1701784645.8623307,520000,-328.28668212890625
1701784649.6633284,521000,-328.28668212890625
1701784652.9983296,522000,-328.28668212890625
1701784661.9997773,523000,-219.8820037841797
1701784665.8477788,524000,-219.8820037841797
1701784669.685779,525000,-219.8820037841797
1701784673.2337794,526000,-219.8820037841797
1701784677.2107773,527000,-219.8820037841797
1701784680.9647796,528000,-219.8820037841797
1701784684.7277775,529000,-219.8820037841797
1701784688.5857804,530000,-219.8820037841797
1701784692.179778,531000,-219.8820037841797
1701784695.7527792,532000,-219.8820037841797
1701784704.988782,533000,-330.5251159667969
1701784708.2587793,534000,-330.5251159667969
1701784711.245781,535000,-330.5251159667969
1701784714.313781,536000,-330.5251159667969
1701784717.4597795,537000,-330.5251159667969
1701784720.656782,538000,-330.5251159667969
1701784723.852779,539000,-330.5251159667969
1701784727.1287816,540000,-330.5251159667969
1701784730.5367785,541000,-330.5251159667969
1701784734.0407805,542000,-330.5251159667969
1701784742.2097802,543000,-462.81744384765625
1701784744.8937793,544000,-462.81744384765625
1701784747.7407808,545000,-462.81744384765625
1701784750.9397783,546000,-462.81744384765625
1701784753.727777,547000,-462.81744384765625
1701784756.4837794,548000,-462.81744384765625
1701784759.1937773,549000,-462.81744384765625
1701784761.999777,550000,-462.81744384765625
1701784765.0937805,551000,-462.81744384765625
1701784768.4607816,552000,-462.81744384765625
1701784777.4197793,553000,-531.7982177734375
1701784780.2667775,554000,-531.7982177734375
1701784782.6837795,555000,-531.7982177734375
1701784785.4007797,556000,-531.7982177734375
1701784787.8177774,557000,-531.7982177734375
1701784790.320777,558000,-531.7982177734375
1701784792.6937792,559000,-531.7982177734375
1701784795.308779,560000,-531.7982177734375
1701784797.7487798,561000,-531.7982177734375
1701784800.2207773,562000,-531.7982177734375
1701784802.6457763,563000,-531.7982177734375
1701784810.6007798,564000,-544.84130859375
1701784812.983777,565000,-544.84130859375
1701784815.6327791,566000,-544.84130859375
1701784817.9717767,567000,-544.84130859375
1701784820.444778,568000,-544.84130859375
1701784822.8577802,569000,-544.84130859375
1701784825.6187797,570000,-544.84130859375
1701784828.2207787,571000,-544.84130859375
1701784830.9187806,572000,-544.84130859375
1701784833.404779,573000,-544.84130859375
1701784841.2137783,574000,-537.4382934570312
1701784843.804779,575000,-537.4382934570312
1701784846.3297782,576000,-537.4382934570312
1701784848.8937774,577000,-537.4382934570312
1701784851.2607794,578000,-537.4382934570312
1701784853.809778,579000,-537.4382934570312
1701784856.3817775,580000,-537.4382934570312
1701784859.1117797,581000,-537.4382934570312
1701784861.6047776,582000,-537.4382934570312
1701784864.372777,583000,-537.4382934570312
1701784872.9727798,584000,-480.17120361328125
1701784875.9227762,585000,-480.17120361328125
1701784879.109781,586000,-480.17120361328125
1701784882.2207792,587000,-480.17120361328125
1701784885.23678,588000,-480.17120361328125
1701784888.2437792,589000,-480.17120361328125
1701784891.2667806,590000,-480.17120361328125
1701784894.1757798,591000,-480.17120361328125
1701784897.1547775,592000,-480.17120361328125
1701784900.0847769,593000,-480.17120361328125
1701784909.2917802,594000,-339.73455810546875
1701784912.7047799,595000,-339.73455810546875
1701784916.608779,596000,-339.73455810546875
1701784920.1157806,597000,-339.73455810546875
1701784923.6097782,598000,-339.73455810546875
1701784927.3387809,599000,-339.73455810546875
1701784930.8477798,600000,-339.73455810546875
1701784934.25878,601000,-339.73455810546875
1701784937.5707788,602000,-339.73455810546875
1701784940.7107763,603000,-339.73455810546875
1701784943.89578,604000,-339.73455810546875
1701784953.7997806,605000,-104.9007339477539
1701784958.0787783,606000,-104.9007339477539
1701784962.7797778,607000,-104.9007339477539
1701784968.668779,608000,-104.9007339477539
1701784974.4397779,609000,-104.9007339477539
1701784979.696779,610000,-104.9007339477539
1701784984.756779,611000,-104.9007339477539
1701784989.6827772,612000,-104.9007339477539
1701784994.729779,613000,-104.9007339477539
1701784999.585779,614000,-104.9007339477539
1701785008.8277783,615000,-251.02854919433594
1701785013.786777,616000,-251.02854919433594
1701785018.012779,617000,-251.02854919433594
1701785022.2697785,618000,-251.02854919433594
1701785026.4547777,619000,-251.02854919433594
1701785030.5467763,620000,-251.02854919433594
1701785034.5877779,621000,-251.02854919433594
1701785038.6027768,622000,-251.02854919433594
1701785041.7007804,623000,-251.02854919433594
1701785044.9147768,624000,-251.02854919433594
1701785053.181779,625000,-326.8491516113281
1701785056.1927783,626000,-326.8491516113281
1701785059.6367767,627000,-326.8491516113281
1701785062.8767793,628000,-326.8491516113281
1701785066.2217772,629000,-326.8491516113281
1701785069.7197797,630000,-326.8491516113281
1701785073.16178,631000,-326.8491516113281
1701785076.5037796,632000,-326.8491516113281
1701785079.7947803,633000,-326.8491516113281
1701785082.9857776,634000,-326.8491516113281
1701785091.6157775,635000,-263.9660949707031
1701785095.359779,636000,-263.9660949707031
1701785099.0097773,637000,-263.9660949707031
1701785102.641779,638000,-263.9660949707031
1701785106.7587786,639000,-263.9660949707031
1701785110.1237783,640000,-263.9660949707031
1701785113.4397771,641000,-263.9660949707031
1701785116.8027766,642000,-263.9660949707031
1701785120.029779,643000,-263.9660949707031
1701785123.2757766,644000,-263.9660949707031
1701785126.694777,645000,-263.9660949707031
1701785134.7277792,646000,-272.4707336425781
1701785138.1327782,647000,-272.4707336425781
1701785141.4557967,648000,-272.4707336425781
1701785144.7177973,649000,-272.4707336425781
1701785148.045721,650000,-272.4707336425781
1701785151.2637186,651000,-272.4707336425781
1701785154.4572933,652000,-272.4707336425781
1701785157.833076,653000,-272.4707336425781
1701785161.0770752,654000,-272.4707336425781
1701785164.3710756,655000,-272.4707336425781
1701785173.0460758,656000,-134.87185668945312
